article,fig id,url,caption,predicted image count,caption text (by token),caption text (explicit),caption text (keywords)
c9qi00293f.htm,fig1,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/QI/c9qi00293f/c9qi00293f-f1.gif,"(a) and (b) TEM images of 1.93 wt% Ru–WSe2. (c) HRTEM image of 1.93 wt% Ru–WSe2. (d) and (e) The enlarged area denoted in (c) corresponds to the HRTEM images of WSe2. (f) HAADF-STEM image of 1.93 wt% Ru–WSe2. (g–i) The EDS mapping of Ru, W, and Se, respectively.",9,"{'(a,b)': ['TEM images of 1.93 wt% Ru–WSe2.'], '(c)': ['HRTEM image of 1.93 wt% Ru – WSe2.'], '(d,e)': ['The enlarged area denoted in (c) corresponds to the HRTEM images of WSe2.'], '(f)': ['HAADF-STEM image of 1.93 wt% Ru – WSe2.'], '(g–i)': ['The EDS mapping of Ru, W, and Se, respectively.']}","{'a': ['TEM images of 1.93 wt% Ru–WSe2.'], 'b': ['TEM images of 1.93 wt% Ru–WSe2.'], 'c': ['HRTEM image of 1.93 wt% Ru – WSe2.'], 'd': ['The enlarged area denoted in (c) corresponds to the HRTEM images of WSe2.'], 'e': ['The enlarged area denoted in (c) corresponds to the HRTEM images of WSe2.'], 'f': ['HAADF-STEM image of 1.93 wt% Ru – WSe2.'], 'g': ['The EDS mapping of Ru, W, and Se, respectively.'], 'h': ['The EDS mapping of Ru, W, and Se, respectively.'], 'i': ['The EDS mapping of Ru, W, and Se, respectively.']}","{'a': [], 'b': [], 'c': [], 'd': [], 'e': [], 'f': ['HAADF-STEM'], 'g': [], 'h': [], 'i': []}"
c9sc00475k.htm,fig2,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/SC/c9sc00475k/c9sc00475k-f2.gif,"TEM image of ZIF-67 (a) and Co NCs/N-C (b); (c) HAADF-STEM image and corresponding element maps showing the distribution of C (red), N (yellow) and Co (green); (d–f) TEM image and the magnified images of Co NCs/N-C after acid treatment; (g) magnified HAADF-STEM image of the Co NCs/N-C. (h) Atomic resolution STEM image of the Co NCs encapsulated in nitrogen-doped carbon; (i) magnified HAADF-STEM image of the nitrogen-doped graphitized carbon substrate.",9,"{'(a)': ['TEM image of ZIF-67 (a).'], '(b)': ['TEM image of NCs/N-C (b).'], '(c)': ['HAADF-STEM image and corresponding element maps showing the distribution of C (red), N (yellow) and Co (green).'], '(d–f)': ['TEM image and the magnified images of Co NCs/N-C after acid treatment.'], '(g)': ['magnified HAADF-STEM image of the Co NCs/N-C.'], '(h)': ['Atomic resolution STEM image of the Co NCs encapsulated in nitrogen-doped carbon.'], '(i)': ['magnified HAADF-STEM image of the nitrogen-doped graphitized carbon substrate.']}","{'a': ['TEM image of ZIF-67 (a).'], 'b': ['TEM image of NCs/N-C (b).'], 'c': ['HAADF-STEM image and corresponding element maps showing the distribution of C (red), N (yellow) and Co (green).'], 'd': ['TEM image and the magnified images of Co NCs/N-C after acid treatment.'], 'e': ['TEM image and the magnified images of Co NCs/N-C after acid treatment.'], 'f': ['TEM image and the magnified images of Co NCs/N-C after acid treatment.'], 'g': ['magnified HAADF-STEM image of the Co NCs/N-C.'], 'h': ['Atomic resolution STEM image of the Co NCs encapsulated in nitrogen-doped carbon.'], 'i': ['magnified HAADF-STEM image of the nitrogen-doped graphitized carbon substrate.']}","{'a': [], 'b': [], 'c': ['HAADF-STEM'], 'd': [], 'e': [], 'f': [], 'g': ['HAADF-STEM'], 'h': [], 'i': ['HAADF-STEM']}"
c9nr02112d.htm,fig1,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/NR/c9nr02112d/c9nr02112d-f1.gif,(a) Atomic-resolution HAADF-STEM image of the initial Ge–Sb–Te-layered structure acquired at room temperature before in situ TEM heating. (b) Averaged intensity maxima extracted from (a) in vertical direction with respect to the micrograph. (c) High-resolution HAADF-STEM image of the Ge–Sb–Te layered structure acquired at a TEM holder temperature of 240 °C. (d) Atomic-resolution HAADF-STEM image of the Ge–Sb–Te layered structure formed after in situ TEM heating of the TEM specimen to a TEM holder temperature of 320 °C. The image was acquired at room temperature. (e) Averaged intensity maxima extracted from (d) in vertical direction with respect to the image. (f) Exemplary averaged distances between Te layers within and between the 3-fold Te and 5-fold-layered structures. The red bars show the distances within the newly formed 3-fold Te-layered structures. The Te–Te distances on the right side (three bars only) are calculated distances extracted from a simulated image containing a 5-fold Te structure. The vdW show the van der Waals gaps whereas the VL point out the vacancy layers. The number in HAADF micrographs gives the quantity of Te layers per building block. Te atomic planes in (a) are also numbered.,6,"{'(a)': ['Atomic-resolution HAADF-STEM image of the initial Ge–Sb–Te-layered structure acquired at room temperature before in situ TEM heating.'], '(b)': ['Averaged intensity maxima extracted from (a) in vertical direction with respect to the micrograph.'], '(c)': ['High-resolution HAADF-STEM image of the Ge – Sb – Te layered structure acquired at a TEM holder temperature of 240 °C.'], '(d)': ['Atomic-resolution HAADF-STEM image of the Ge–Sb–Te layered structure formed after in situ TEM heating of the TEM specimen to a TEM holder temperature of 320 °C.'], '(e)': ['Averaged intensity maxima extracted from (d) in vertical direction with respect to the image.'], '(f)': ['Exemplary averaged distances between Te layers within and between the 3-fold Te and 5-fold-layered structures.']}","{'a': ['Atomic-resolution HAADF-STEM image of the initial Ge–Sb–Te-layered structure acquired at room temperature before in situ TEM heating.'], 'b': ['Averaged intensity maxima extracted from (a) in vertical direction with respect to the micrograph.'], 'c': ['High-resolution HAADF-STEM image of the Ge – Sb – Te layered structure acquired at a TEM holder temperature of 240 °C.'], 'd': ['Atomic-resolution HAADF-STEM image of the Ge–Sb–Te layered structure formed after in situ TEM heating of the TEM specimen to a TEM holder temperature of 320 °C.'], 'e': ['Averaged intensity maxima extracted from (d) in vertical direction with respect to the image.'], 'f': ['Exemplary averaged distances between Te layers within and between the 3-fold Te and 5-fold-layered structures.']}","{'a': ['HAADF-STEM'], 'b': [], 'c': ['HAADF-STEM'], 'd': ['HAADF-STEM'], 'e': [], 'f': []}"
c9nr02112d.htm,fig2,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/NR/c9nr02112d/c9nr02112d-f2.gif,"(a)–(c) High-resolution HAADF-STEM micrographs. (a) HAADF image of the Ge–Sb–Te layered structure acquired at room temperature after in situ TEM heating to a TEM holder temperature of 320 °C. The image was acquired at room temperature. The vdW show the vdW gaps whereas the VL point out the vacancy layers. (b) Partial filling of VL after electron beam exposure of the specimen area marked by the dashed rectangle. (c) Complete filling of VL after electron beam exposure of image (b). (d) Exemplary averaged distances between Te layers within and between the 3-fold Te and 5-fold-layered structures. The red bars show the distances after complete transformation of 3-fold Te-layered structures into a 6-fold Te structure. The numbers in HAADF images give the quantity of Te layers per building block. The rectangles mark the positions of pre-existing bilayer defect for visual guidance and area tracking, whereas the dashed rectangle marks the TEM specimen area after electron beam exposure. The number in HAADF micrographs gives the quantity of Te layers per building unit. The Te–Te interplanar spacing before and after the reconfiguration process are also shown in (a) and (c), respectively.",4,"{'(a–c)': ['High-resolution HAADF-STEM micrographs.'], '(a)': ['HAADF image of the Ge – Sb – Te layered structure acquired at room temperature after in situ TEM heating to a TEM holder temperature of 320 °C.'], '(b)': ['Partial filling of VL after electron beam exposure of the specimen area marked by the dashed rectangle.'], '(c)': ['Complete filling of VL after electron beam exposure shown in image (b).'], '(d)': ['Exemplary averaged distances between Te layers within and between the 3-fold Te and 5-fold-layered structures.'], '(a,c)': ['The Te–Te interplanar spacing before and after the reconfiguration process are also shown in (a,c), respectively.']}","{'a': ['High-resolution HAADF-STEM micrographs.', 'HAADF image of the Ge – Sb – Te layered structure acquired at room temperature after in situ TEM heating to a TEM holder temperature of 320 °C.', 'The Te–Te interplanar spacing before and after the reconfiguration process are also shown in (a,c), respectively.'], 'b': ['High-resolution HAADF-STEM micrographs.', 'Partial filling of VL after electron beam exposure of the specimen area marked by the dashed rectangle.'], 'c': ['High-resolution HAADF-STEM micrographs.', 'Complete filling of VL after electron beam exposure shown in image (b).', 'The Te–Te interplanar spacing before and after the reconfiguration process are also shown in (a,c), respectively.'], 'd': ['Exemplary averaged distances between Te layers within and between the 3-fold Te and 5-fold-layered structures.']}","{'a': ['HAADF-STEM'], 'b': ['HAADF-STEM'], 'c': ['HAADF-STEM'], 'd': []}"
c9nr02112d.htm,fig3,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/NR/c9nr02112d/c9nr02112d-f3.gif,"(a) Statistical distribution of building units in as-grown GeTe–Sb2Te3-based SLs. The insets show the HAADF-STEM micrograph and the RGB image processed from the HAADF image for better visualization of the building units of the SLs. The green colour shows Ge-rich Ge–Sb–Te layers, while t-Sb2Te3 are trigonal Sb2Te3 building units. (b) and (c) HAADF-STEM micrographs of the TEM specimen in situ heated to a TEM holder temperature of 320 °C. The images were acquired at room temperature. (d) Averaged intensity maxima extracted from the rectangle area marked in (c). The profiles were extracted in the vertical direction with respect to the image. The vdW show the vdW gaps whereas the VL point out the vacancy layers. The number in HAADF micrographs gives the quantity of Te layers per building block. The stacking of Te planes is also shown. The stacking sequence of Te layers across the VLs is cubic whereas the stacking of Te layers across the vdW gaps is hexagonal.",4,"{'(a)': ['Statistical distribution of building units in as-grown GeTe–Sb2Te3-based SLs.'], '(b,c)': ['HAADF-STEM micrographs of the TEM specimen in situ heated to a TEM holder temperature of 320 °C.'], '(d)': ['Averaged intensity maxima extracted from the rectangle area marked in (c).'], '(c)': []}","{'a': ['Statistical distribution of building units in as-grown GeTe–Sb2Te3-based SLs.'], 'b': ['HAADF-STEM micrographs of the TEM specimen in situ heated to a TEM holder temperature of 320 °C.'], 'c': ['HAADF-STEM micrographs of the TEM specimen in situ heated to a TEM holder temperature of 320 °C.'], 'd': ['Averaged intensity maxima extracted from the rectangle area marked in (c).']}","{'a': [], 'b': ['HAADF-STEM'], 'c': ['HAADF-STEM'], 'd': []}"
c9nr02112d.htm,fig4,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/NR/c9nr02112d/c9nr02112d-f4.gif,(a)–(d) Atomic-resolution HAADF-STEM images. (a) Initial structure of GeTe–Sb2Te3 SLs. (b) Formation of a VL within the 7-fold Te-layered unit after targeted electron beam exposure of the third cation layer (counting from the bottom of the building unit). (c) Recovering of the initial SL structure after electron beam exposure of the VL. (d) Artificial writing of the VL within the 7-fold Te-layered unit by targeted electron beam exposure of the fourth cation layer (counting from the bottom of the building unit). The numbers in the HAADF images indicate the quantity of Te layers per building block. The arrows in the image show the vdW gaps whereas the “*” marks point out the VLs.,4,"{'(a–d)': ['Atomic-resolution HAADF-STEM images.'], '(a)': ['Initial structure of GeTe–Sb2Te3 SLs.'], '(b)': ['Formation of a VL within the 7-fold Te-layered unit after targeted electron beam exposure of the third cation layer (counting from the bottom of the building unit).'], '(c)': ['Recovering of the initial SL structure after electron beam exposure of the VL.'], '(d)': ['Artificial writing of the VL within the 7-fold Te-layered unit by targeted electron beam exposure of the fourth cation layer (counting from the bottom of the building unit).']}","{'a': ['Atomic-resolution HAADF-STEM images.', 'Initial structure of GeTe–Sb2Te3 SLs.'], 'b': ['Atomic-resolution HAADF-STEM images.', 'Formation of a VL within the 7-fold Te-layered unit after targeted electron beam exposure of the third cation layer (counting from the bottom of the building unit).'], 'c': ['Atomic-resolution HAADF-STEM images.', 'Recovering of the initial SL structure after electron beam exposure of the VL.'], 'd': ['Atomic-resolution HAADF-STEM images.', 'Artificial writing of the VL within the 7-fold Te-layered unit by targeted electron beam exposure of the fourth cation layer (counting from the bottom of the building unit).']}","{'a': ['HAADF-STEM'], 'b': ['HAADF-STEM'], 'c': ['HAADF-STEM'], 'd': ['HAADF-STEM']}"
c9ce00104b.htm,fig3,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/CE/c9ce00104b/c9ce00104b-f3.gif,"(a and e) HAADF-STEM high-magnification images of isolated TO particles subjected to high-pressure, and (b and f) the corresponding FFT images encompassing the particle area. (c and g) Magnified areas indicated in (a and e). (d and h) Averaged intensity profile plots of the {111} planes indicated in (c and g) highlighting the lattice distortion.",8,"{'(a and e)': ['HAADF - STEM high - magnification images of isolated TO particles subjected to high-pressure.'], '(b and f)': ['the corresponding FFT images encompassing the particle area.'], '(c and g)': ['Magnified areas indicated in (a and e).'], '(d and h)': ['Averaged intensity profile plots of the {111} planes indicated in (c and g) highlighting the lattice distortion.']}","{'a': ['HAADF - STEM high - magnification images of isolated TO particles subjected to high-pressure.'], 'e': ['HAADF - STEM high - magnification images of isolated TO particles subjected to high-pressure.'], 'b': ['the corresponding FFT images encompassing the particle area.'], 'f': ['the corresponding FFT images encompassing the particle area.'], 'c': ['Magnified areas indicated in (a and e).'], 'g': ['Magnified areas indicated in (a and e).'], 'd': ['Averaged intensity profile plots of the {111} planes indicated in (c and g) highlighting the lattice distortion.'], 'h': ['Averaged intensity profile plots of the {111} planes indicated in (c and g) highlighting the lattice distortion.']}","{'a': ['HAADF-STEM'], 'e': ['HAADF-STEM'], 'b': [], 'f': [], 'c': [], 'g': [], 'd': [], 'h': []}"
c9ce00104b.htm,fig5,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/CE/c9ce00104b/c9ce00104b-f5.gif,(a) HAADF-STEM high-magnification image of an isolated triangular particle subjected to high-pressure. (b) The corresponding FFT image encompassing the particle area. (c) Magnified area indicated in (a). (d) Averaged intensity profile plots of the {220} planes indicated in (c) showing no significant lattice distortion.,4,"{'(a)': ['HAADF-STEM high- magnification image of an isolated triangular particle subjected to high-pressure.'], '(b)': ['The corresponding FFT image encompassing the particle area.'], '(c)': ['Magnified area indicated in (a).'], '(d)': ['Averaged intensity profile plots of the {220} planes indicated in (c) showing no significant lattice distortion.']}","{'a': ['HAADF-STEM high- magnification image of an isolated triangular particle subjected to high-pressure.'], 'b': ['The corresponding FFT image encompassing the particle area.'], 'c': ['Magnified area indicated in (a).'], 'd': ['Averaged intensity profile plots of the {220} planes indicated in (c) showing no significant lattice distortion.']}","{'a': ['HAADF-STEM'], 'b': [], 'c': [], 'd': []}"
c9na00161a.htm,fig1,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/NA/c9na00161a/c9na00161a-f1.gif,"STEM HAADF images of various types of core@shell clusters. From left to right: (a) Fe@Au core@shell structure (featuring a complete shell, i.e. a fully passivated iron core), (b) Fe@Au@Fe-oxide core@shell@shell, (c) Fe@Au with an incomplete additional shell of iron oxide, (d) Au cluster adjacent to a Fe3O4 cluster. The first three configurations are all related to a Fe@Au core@shell structure, see text for details. The Janus-type structure in the fourth picture is an example of incomplete coating due to a lack of Au atoms.",4,"{'(a)': ['STEM HAADF images of various types of core@shell clusters : (a) Fe@Au core@shell structure (featuring a complete shell.'], '(b)': ['STEM HAADF images of various types of core@shell clusters : (b) Fe@Au@Fe-oxide core@shell@shell.'], '(c)': ['STEM HAADF images of various types of core@shell clusters : (c) Fe@Au with an incomplete additional shell of iron oxide.'], '(d)': ['STEM HAADF images of various types of core@shell clusters : (d) Au cluster adjacent to a Fe3O4 cluster.']}","{'a': ['STEM HAADF images of various types of core@shell clusters : (a) Fe@Au core@shell structure (featuring a complete shell.'], 'b': ['STEM HAADF images of various types of core@shell clusters : (b) Fe@Au@Fe-oxide core@shell@shell.'], 'c': ['STEM HAADF images of various types of core@shell clusters : (c) Fe@Au with an incomplete additional shell of iron oxide.'], 'd': ['STEM HAADF images of various types of core@shell clusters : (d) Au cluster adjacent to a Fe3O4 cluster.']}","{'a': ['HAADF-STEM'], 'b': ['HAADF-STEM'], 'c': ['HAADF-STEM'], 'd': ['HAADF-STEM']}"
c9na00161a.htm,fig3,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/NA/c9na00161a/c9na00161a-f3.gif,HAADF image of an Fe@Au cluster without signs of oxidation. The lattice structure of the Au-coating is clearly visible; in the lower left corner its thickness is approximately three atomic layers (marked by red arrows).,1,"{'(0)': ['HAADF', 'image', 'of', 'an', 'Fe@Au', 'cluster', 'without', 'signs', 'of', 'oxidation.', 'The', 'lattice', 'structure', 'of', 'the', 'Au-coating', 'is', 'clearly', 'visible;', 'in', 'the', 'lower', 'left', 'corner', 'its', 'thickness', 'is', 'approximately', 'three', 'atomic', 'layers', '(marked', 'by', 'red', 'arrows).']}","{'0': ['HAADF', 'image', 'of', 'an', 'Fe@Au', 'cluster', 'without', 'signs', 'of', 'oxidation.', 'The', 'lattice', 'structure', 'of', 'the', 'Au-coating', 'is', 'clearly', 'visible;', 'in', 'the', 'lower', 'left', 'corner', 'its', 'thickness', 'is', 'approximately', 'three', 'atomic', 'layers', '(marked', 'by', 'red', 'arrows).']}",{'0': ['HAADF-STEM']}
c9na00122k.htm,fig2,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/NA/c9na00122k/c9na00122k-f2.gif,"Representative HAADF STEM images of Pt clusters (a): UI/A Pt55 cluster showing parallel lines; (b) UI/A Pt55 with no discernible structure; (c) UI/A Pt147 cluster showing a parallel lines; (d) UI/A Pt147 cluster showing a ring-dot pattern; (e) UI/A Pt147 cluster with no discernible structure; (f) Pt309 cluster showing a possible twin plane; (g) FCC Pt309 cluster; (h) Pt309 electron scattering simulation, corresponding to the cluster seen in (g).",8,"{'(a)': ['Representative HAADF STEM images of Pt clusters : (a) UI / A Pt55 cluster showing parallel lines.'], '(b)': ['Representative HAADF STEM images of Pt clusters : (b) UI / A Pt55 with no discernible structure.'], '(c)': ['Representative HAADF STEM images of Pt clusters : (c) UI/A Pt147 cluster showing a parallel lines.'], '(d)': ['Representative HAADF STEM images of Pt clusters : (d) UI/A Pt147 cluster showing a ring-dot pattern.'], '(e)': ['Representative HAADF STEM images of Pt clusters : (e) UI/A Pt147 cluster with no discernible structure.'], '(f)': ['Representative HAADF STEM images of Pt clusters : (f) Pt309 cluster showing a possible twin plane.'], '(g)': ['Representative HAADF STEM images of Pt clusters : (g) FCC Pt309 cluster.'], '(h)': ['Representative HAADF STEM images of Pt clusters : (h) Pt309 electron scattering simulation, corresponding to the cluster seen in (g).']}","{'a': ['Representative HAADF STEM images of Pt clusters : (a) UI / A Pt55 cluster showing parallel lines.'], 'b': ['Representative HAADF STEM images of Pt clusters : (b) UI / A Pt55 with no discernible structure.'], 'c': ['Representative HAADF STEM images of Pt clusters : (c) UI/A Pt147 cluster showing a parallel lines.'], 'd': ['Representative HAADF STEM images of Pt clusters : (d) UI/A Pt147 cluster showing a ring-dot pattern.'], 'e': ['Representative HAADF STEM images of Pt clusters : (e) UI/A Pt147 cluster with no discernible structure.'], 'f': ['Representative HAADF STEM images of Pt clusters : (f) Pt309 cluster showing a possible twin plane.'], 'g': ['Representative HAADF STEM images of Pt clusters : (g) FCC Pt309 cluster.'], 'h': ['Representative HAADF STEM images of Pt clusters : (h) Pt309 electron scattering simulation, corresponding to the cluster seen in (g).']}","{'a': ['HAADF-STEM'], 'b': ['HAADF-STEM'], 'c': ['HAADF-STEM'], 'd': ['HAADF-STEM'], 'e': ['HAADF-STEM'], 'f': ['HAADF-STEM'], 'g': ['HAADF-STEM'], 'h': ['HAADF-STEM']}"
c9nr01804b.htm,fig4,http://pubs.rsc.org/services/images/RSCpubs.ePlatform.Service.FreeContent.ImageService.svc/ImageService/Articleimage/2019/NR/c9nr01804b/c9nr01804b-f4.gif,"(a) TEM image and (b) schematic illustration of a single NixCo3−xO4 nanocube. (c) HRTEM image, and (d) HAADF image and corresponding STEM-EDX elemental mapping of NixCo3−xO4.",4,"{'(a)': ['TEM image of a single NixCo3−xO4 nanocube.'], '(b)': ['schematic illustration of a single NixCo3−xO4 nanocube.'], '(c)': ['HRTEM image, of NixCo3−xO4.'], '(d)': ['HAADF image and corresponding STEM-EDX elemental mapping of NixCo3−xO4.']}","{'a': ['TEM image of a single NixCo3−xO4 nanocube.'], 'b': ['schematic illustration of a single NixCo3−xO4 nanocube.'], 'c': ['HRTEM image, of NixCo3−xO4.'], 'd': ['HAADF image and corresponding STEM-EDX elemental mapping of NixCo3−xO4.']}","{'a': [], 'b': [], 'c': [], 'd': ['HAADF-STEM']}"
